Collection_year,Background_pollu,Raw_cooked,Hg_conc,Tair_f_inst_MEAN,Albedo_inst_MEAN,AvgSurfT_inst_MEAN,Qsb_acc_MEAN,ECanop_tavg_MEAN,ESoil_tavg_MEAN,LWdown_f_tavg_MEAN,Evap_tavg_MEAN,Qg_tavg_MEAN,Qle_tavg_MEAN,Swnet_tavg_MEAN,Lwnet_tavg_MEAN,CanopInt_inst_MEAN,PotEvap_tavg_MEAN,Rainf_tavg_MEAN,RootMoist_inst_MEAN,Qh_tavg_MEAN,Snowf_tavg_MEAN,SnowDepth_inst_MEAN
2016,4,0,10.38,280.1597595,12.87460661,275.7882538,0.025931714,3.793840736,10.03457665,317.9378662,1.32E-05,-3.926826119,33.45197153,142.1990929,-70.22316742,0.043539315,118.8487625,2.57E-06,433.5853806,42.1689167,3.99E-06,0.004425504
2016,0,0,4.57,253.6156006,12.06215668,283.79216,0.590301067,11.12155247,20.79911232,177.6153355,1.57E-05,-5.178146839,39.29159737,84.39419556,-35.80205917,0.218975805,62.1033802,0.000109177,713.9962158,14.93424892,6.43E-07,0.000984073
2016,0,0,4.56,277.8964335,17.50739861,270.3593979,0.004320988,0.225463707,9.898478031,302.9739482,4.99E-06,-10.59940672,12.74805999,81.84570694,-56.30804825,0.022767138,67.04421616,1.69E-06,258.4378319,23.39638567,2.73E-06,0.003262399
2016,0,0,9,276.2324524,17.74896431,274.9136963,5.00E-05,0.345818967,7.832629204,273.9291077,4.57E-06,4.395263195,11.84379387,109.7204285,-71.13296509,0.0265,122.8092194,3.94E-06,165.3205109,21.95738411,3.60E-06,0.002610345
2016,0,0,1,274.1759644,15.25245667,274.545166,0.00016,0.083362065,3.507629395,271.1051102,2.08E-06,5.64966011,5.374612808,113.9533157,-68.90464783,0.002646552,116.9741821,4.57E-07,164.6351318,34.03630829,1.59E-06,0.000991379
2015,5,0,42.86,279.7997742,16.67385205,263.3547419,9.01E-05,0.008471408,1.741337982,308.2913208,1.60E-06,-4.066310753,4.292952819,92.42434138,-56.61142523,2.60E-05,52.19756803,1.19E-08,171.2270092,35.87928425,1.76E-06,0.010502346
2015,6,0,165.45,279.7997742,16.67385205,263.3547419,9.01E-05,0.008471408,1.741337982,308.2913208,1.60E-06,-4.066310753,4.292952819,92.42434138,-56.61142523,2.60E-05,52.19756803,1.19E-08,171.2270092,35.87928425,1.76E-06,0.010502346
2011,5,0,17.81818182,271.6847432,11.52532196,279.0799866,0.006824274,1.98826611,16.56003952,271.4489237,1.16E-05,-3.434811115,29.06848335,103.1684647,-46.29512024,0.024725806,87.98784637,3.39E-06,464.4291382,31.35091591,1.08E-07,1.49E-05
2011,0,0,8.352380952,269.5635427,15.31720384,290.082255,0.129962097,4.29267474,10.69318517,242.0413437,1.02E-05,-4.033614794,25.58273041,104.1990992,-40.12569618,0.068100808,172.942632,2.00E-05,138.8487206,42.58571434,0,0
2014,0,0,31.02857143,279.6016388,13.25360451,281.6586121,0.003901363,0.550870967,20.667976,277.4127045,9.59E-06,0.13144269,23.99375496,103.7341354,-63.21460266,0.036926614,93.31687164,5.11E-06,422.7983887,16.65177593,0,4.76E-06
2012,1,0,66.06230712,275.8444519,18.21209676,264.2863421,0.000480052,0.034095622,3.741025312,292.813324,3.38E-06,-8.402773448,9.086989914,98.07888249,-68.2126661,0.000654378,56.50002343,9.91E-09,210.0882852,29.29944529,3.25E-06,0.018739862
2016,0,0,14,285.5121765,11.1637094,277.1385193,0.010383024,1.713981867,14.12062478,343.9388123,1.38E-05,-4.710505486,34.50409794,145.2169113,-72.01508331,0.024893146,100.704792,7.69E-06,567.1776581,43.78706264,6.05E-09,1.02E-05
2016,5,0,20,276.5230103,14.00775512,267.3009491,0.000862708,0.073030914,3.126969099,304.5022278,3.46E-06,-7.069336335,9.374797344,87.62878927,-54.18144035,0.001402554,69.89745204,6.80E-08,171.1309026,31.22290548,4.31E-06,0.011239987
